,,,,,,,,,,,,,
Vesicles red Position,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,
Vesicles red Position X,Vesicles red Position Y,Vesicles red Position Z,Unit,Category,Collection,Birth [s],Death [s],CellID,ID,OriginalID,Original Component Name,Original Component ID,Original Image Name
432.893402,-54.380943,-1.901474,µm,Vesicles red, Vesicles red Position,0,1,11,300033975,300034234,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
432.352142,-54.007378,-1.705234,µm,Vesicles red, Vesicles red Position,0,1,11,300033976,300034235,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
433.225006,-59.821915,-1.458926,µm,Vesicles red, Vesicles red Position,0,1,11,300033977,300034236,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
433.384491,-59.264656,-1.315301,µm,Vesicles red, Vesicles red Position,0,1,11,300033978,300034237,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
387.651703,-46.040855,-1.820251,µm,Vesicles red, Vesicles red Position,0,1,12,300033979,300034238,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
384.26944,-39.479435,-1.739049,µm,Vesicles red, Vesicles red Position,0,1,12,300033980,300034239,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
389.401215,-46.58046,-0.675626,µm,Vesicles red, Vesicles red Position,0,1,12,300033981,300034240,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
429.524048,-39.819408,-2.003223,µm,Vesicles red, Vesicles red Position,0,1,13,300033982,300034241,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
423.411346,-39.271107,0.091387,µm,Vesicles red, Vesicles red Position,0,1,13,300033983,300034242,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
429.718628,-39.199524,-1.630304,µm,Vesicles red, Vesicles red Position,0,1,13,300033984,300034243,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
425.152039,-32.896324,-1.081293,µm,Vesicles red, Vesicles red Position,0,1,13,300033985,300034244,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
425.583008,-32.812992,-1.001023,µm,Vesicles red, Vesicles red Position,0,1,13,300033986,300034245,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
405.342957,-64.905418,-2.116774,µm,Vesicles red, Vesicles red Position,0,1,14,300033987,300058862,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
400.161102,-66.166847,-1.850237,µm,Vesicles red, Vesicles red Position,0,1,14,300033988,300058863,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
429.753876,-56.522972,-1.971192,µm,Vesicles red, Vesicles red Position,0,1,15,300033989,300058864,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
429.929382,-57.392715,-1.831688,µm,Vesicles red, Vesicles red Position,0,1,15,300033990,300058865,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
434.591492,-52.652832,-1.908899,µm,Vesicles red, Vesicles red Position,0,1,15,300033991,300058866,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
434.087372,-52.306042,-1.710505,µm,Vesicles red, Vesicles red Position,0,1,15,300033992,300058867,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
434.930908,-58.087345,-1.475031,µm,Vesicles red, Vesicles red Position,0,1,15,300033993,300058868,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
435.096436,-57.573265,-1.303708,µm,Vesicles red, Vesicles red Position,0,1,15,300033994,300058869,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
389.370605,-44.319061,-1.77038,µm,Vesicles red, Vesicles red Position,0,1,16,300033995,300058870,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
385.986053,-37.758823,-1.725071,µm,Vesicles red, Vesicles red Position,0,1,16,300033996,300058871,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
